_	 1085475
£	 461631
¡	 277268
¬	 261386
£¬	 197999
Ð	 167027
†	 163366
Ö	 153343
È	 149124
Ò	 148476
þ	 146465
Ó	 141618
Ä	 132200
½	 130800
Õ	 118447
»	 117492
Í	 116544
É	 116381
µ	 113621
×	 112560
¡£	 111935
Ë	 109435
·	 108749
e	 108147
Ô	 105074
¶	 101417
Ã	 101109
‚	 100845
Ê	 99837
¼	 98442
†þ	 97641
¢	 93517
a	 90730
¾	 90379
¨	 88886
º	 88803
Â	 88447
Ï	 87221
³	 85298
¹	 84993
¸	 84304
o	 83976
S	 83513
¿	 82495
r	 80792
Î	 79607
°	 78107
ß	 75950
´	 74761
i	 74401
n	 74180
í	 69278
t	 68070
Æ	 67055
À	 66753
Ì	 66339
s	 63285
é	 62793
ø	 62577
Ø	 62267
Á	 62027
±	 61680
l	 60105
Ç	 59650
ê	 58810
‚S	 58762
¡¢	 58732
©	 57654
®	 56748
î	 54386
Ú	 54062
£_	 53874
¡£_	 53274
²	 52172
•	 51449
	 49830
Å	 49784
‡	 49241
Œ	 48548
ó	 46968
÷	 45935
h	 45565
Ò»	 44674
ö	 43456
£¨	 43376
£©	 43300
Ù	 42854
…	 42374
ñ	 42139
c	 41211
á	 40924
u	 40808
Í¬	 39014
ò	 38732
û	 38424
«	 38357
ë	 38092
à	 37978
Äê	 37273
‘	 36958
Ñ	 36619
ÈË	 36099
ú	 35983
ÓÐ	 35630
g	 35158
Ü	 34983
ª	 33772
„	 32248
€	 32048
^	 32029
æ	 31888
ý	 31584
d	 31479
m	 30539
ž	 30133
£º	 28886
¥	 28667
_Ä	 28539
_£	 28382
´ó	 28089
Ý	 27478
ã	 27379
ì	 26909
†Õ	 26904
¯	 26615
ï	 26547
T	 26206
‚€	 26066
ˆ	 25806
â	 25600
ä	 25415
p	 25365
ƒ	 25274
­	 25242
Û	 25170
-	 25144
W	 24740
C	 24601
y	 24537
ð	 24447
_Äê	 24357
ù	 24285
Š	 24094
ÖÐ	 23877
˜	 23673
.	 23357
”	 23327
ü	 22659
L	 22573
M	 22505
f	 22184
“	 21892
e_	 21632
Ž	 21565
³ö	 21426
ÒÔ	 21248
‡ø	 21213
A	 21032
–	 20929
š	 20496
ç	 20478
w	 20324
žé	 20132
›	 20099
¤	 19374
•þ	 19326
I	 19202
¦	 19198
B	 18538
b	 18538
	 18517
s_	 18338
F	 18199
©_	 18146
Ú	 17919
£©_	 17598
å	 17389
_¡	 17221
R	 17203
,	 17026
ô	 16994
¢¡	 16850
µ½	 16793
¡¹	 16784
¡¸	 16729
ÈÕ	 16729
§	 16717
-_	 16671
•r	 16646
¡¶	 16530
x	 16304
N	 16232
O	 16094
Ö®	 16087
¡·	 16078
³É	 15942
µØ	 15756
P	 15616
_-	 15558
v	 15534
ÐÐ	 15434
¡¢¡	 15397
	 15129
¶¼	 15061
…ø	 15040
ÄØ	 14980
	 14804
Þ	 14764
er	 14688
in	 14687
an	 14659
è	 14655
ÓÃ	 14618
ÉÏ	 14368
_-_	 14310
ÔÂ	 14280
áá	 14273
ßí	 14256
D	 14149
¾Í	 14109
Ãæ	 13994
í‘	 13941
_Ô	 13923
¸Û	 13791
|	 13763
on	 13708
._	 13611
 	 13502
¶ø	 13361
,_	 13359
)	 13295
¼Ò	 13166
(	 13112
Y	 13059
¬Ò	 12804
—	 12787
¢¡¢	 12763
¡¢¡¢	 12568
n_	 12554
ºÃ	 12545
º£	 12539
µÚ	 12518
Ÿ	 12341
Éú	 11990
™	 11987
Âñ	 11888
Ö÷	 11827
‹	 11771
ÎÄ	 11592
k	 11399
ÓÉ	 11370
Ïã	 11366
¬Ó	 11359
·½	 11355
K	 11156
_	 11128
·Ö	 11106
¶à	 11065
£¬Ò	 11056
¿É	 11026
ŒW	 10905
Ð¡	 10900
¹«	 10791
õ	 10731
ã¸	 10698
ê_	 10660
Q	 10656
ß^	 10649
×î	 10617
×ö	 10546
Ïã¸	 10542
Ãû	 10540
ã¸Û	 10534
Ïã¸Û	 10531
£¬Ó	 10466
_È	 10316
H	 10272
Äê_	 10191
Â_	 10164
en	 10143
V	 10131
Õ¾	 10040
he	 9989
é_	 9980
	 9961
°l	 9912
±¾	 9892
th	 9857
/	 9717
_Äê_	 9565
Ü‡	 9535
Èë	 9508
_a	 9417
_t	 9415
‰	 9406
or	 9386
Òª	 9347
¬Ö	 9339
_ÔÂ	 9318
_£º	 9238
»‚	 9217
ì¶	 9160
ar	 9129
¬Â	 9038
½Ð	 8993
d_	 8959
½›	 8926
²¿	 8899
þÈ	 8890
¬µ	 8775
ÐÂ	 8755
]	 8748
’	 8667
ÊÀ	 8656
…^	 8631
t_	 8611
ég	 8608
ÏÂ	 8605
©£	 8577
al	 8536
te	 8530
Ð£	 8524
re	 8488
¼Ó	 8452
)_	 8411
es	 8287
ÊÂ	 8277
¨£	 8277
×÷	 8263
_	 8250
Í¬Â	 8239
ng	 8236
×Ô	 8227
at	 8218
ÉÒ	 8217
_.	 8204
a_	 8179
_£¨	 8152
_Ì	 8129
í	 8115
¬Âñ	 8111
¬‚	 8085
†þÈ	 8084
Í¬Âñ	 8083
Èý	 8033
Õß	 8019
¬¶	 8006
_í	 7957
ti	 7932
†T	 7917
Ëù	 7901
„Ó	 7897
Õþ	 7885
¶¡	 7863
µÄ	 7849
Ç°	 7840
Òà	 7833
£¬Ö	 7815
¢¡¢¡	 7812
¡¢¡¢¡	 7795
£©£	 7760
\	 7756
Ò»‚	 7751
ÖØ	 7744
r_	 7738
·¨	 7686
¶È	 7673
_C	 7653
¬_	 7646
þ¡	 7643
_(	 7635
£¬‚	 7616
–|	 7611
£¬µ	 7587
»‚€	 7584
Æä	 7571
Ò»‚€	 7549
ÄÏ	 7538
Ê®	 7521
¢¡¢¡¢	 7508
Î÷	 7471
º_	 7466
Ãñ	 7446
is	 7437
þ£	 7423
Z	 7403
{	 7402
E	 7390
¿ÉÒ	 7374
le	 7366
Ë_	 7365
·N	 7363
µÈ	 7346
¨_	 7344
_Ê	 7338
ÉÒÔ	 7325
ëŠ	 7280
éL	 7277
¿ÉÒÔ	 7270
´ú	 7259
